ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa05212	Pancreatic cancer	2/75	76/8016	0.158683670	0.6657955	0.6393604	1870/578	2
hsa05220	Chronic myeloid leukemia	2/75	76/8016	0.158683670	0.6657955	0.6393604	1870/578	2
hsa05206	MicroRNAs in cancer	5/75	310/8016	0.163851976	0.6657955	0.6393604	900/596/1870/599/578	5
hsa04721	Synaptic vesicle cycle	2/75	78/8016	0.165285389	0.6657955	0.6393604	22999/163	2
hsa01521	EGFR tyrosine kinase inhibitor resistance	2/75	79/8016	0.168604718	0.6657955	0.6393604	2309/596	2
hsa04150	mTOR signaling pathway	3/75	153/8016	0.172128035	0.6657955	0.6393604	1857/5563/6195	3
hsa05160	Hepatitis C	3/75	155/8016	0.176759663	0.6657955	0.6393604	100506658/1870/578	3
hsa05131	Shigellosis	4/75	236/8016	0.179102874	0.6657955	0.6393604	2309/596/4303/10163	4
hsa04218	Cellular senescence	3/75	160/8016	0.188489865	0.6719528	0.6452733	2309/1870/5928	3
hsa05210	Colorectal cancer	2/75	86/8016	0.192138430	0.6719528	0.6452733	596/578	2
hsa00515	Mannose type O-glycan biosynthesis	1/75	23/8016	0.194672537	0.6719528	0.6452733	8704	1
hsa04211	Longevity regulating pathway	2/75	89/8016	0.202358257	0.6719528	0.6452733	2309/5563	2
hsa05410	Hypertrophic cardiomyopathy (HCM)	2/75	90/8016	0.205779439	0.6719528	0.6452733	5563/6444	2
hsa05164	Influenza A	3/75	170/8016	0.212528582	0.6719528	0.6452733	578/100529063/8106	3
hsa04950	Maturity onset diabetes of the young	1/75	26/8016	0.217132943	0.6719528	0.6452733	6928	1
hsa00062	Fatty acid elongation	1/75	27/8016	0.224481507	0.6719528	0.6452733	5538	1
hsa00601	Glycosphingolipid biosynthesis - lacto and neolacto series	1/75	27/8016	0.224481507	0.6719528	0.6452733	8704	1
hsa05215	Prostate cancer	2/75	97/8016	0.229889077	0.6719528	0.6452733	596/1870	2
hsa01522	Endocrine resistance	2/75	98/8016	0.233351625	0.6719528	0.6452733	596/1870	2
hsa04914	Progesterone-mediated oocyte maturation	2/75	99/8016	0.236817618	0.6719528	0.6452733	64506/6195	2
hsa05152	Tuberculosis	3/75	180/8016	0.237205619	0.6719528	0.6452733	596/5993/8844	3
hsa04392	Hippo signaling pathway - multiple species	1/75	29/8016	0.238975055	0.6719528	0.6452733	25937	1
hsa04360	Axon guidance	3/75	181/8016	0.239702468	0.6719528	0.6452733	5063/8633/91584	3
hsa03020	RNA polymerase	1/75	31/8016	0.253201279	0.6977505	0.6700467	171568	1
hsa04136	Autophagy - other	1/75	32/8016	0.260215669	0.6977505	0.6700467	10533	1
hsa04922	Glucagon signaling pathway	2/75	106/8016	0.261146392	0.6977505	0.6700467	5563/57818	2
hsa04130	SNARE interactions in vesicular transport	1/75	33/8016	0.267165046	0.7028189	0.6749138	10228	1
hsa05020	Prion diseases	1/75	35/8016	0.280871133	0.7028189	0.6749138	3915	1
hsa05145	Toxoplasmosis	2/75	112/8016	0.282032638	0.7028189	0.6749138	3915/596	2
hsa00250	Alanine, aspartate and glutamate metabolism	1/75	36/8016	0.287629016	0.7028189	0.6749138	284716	1
hsa00500	Starch and sucrose metabolism	1/75	36/8016	0.287629016	0.7028189	0.6749138	57818	1
hsa05169	Epstein-Barr virus infection	3/75	201/8016	0.290434193	0.7028189	0.6749138	596/1870/578	3
hsa05340	Primary immunodeficiency	1/75	38/8016	0.300957355	0.7028189	0.6749138	5993	1
hsa00513	Various types of N-glycan biosynthesis	1/75	39/8016	0.307528951	0.7028189	0.6749138	8704	1
hsa05135	Yersinia infection	2/75	120/8016	0.309811204	0.7028189	0.6749138	6195/10163	2
hsa04216	Ferroptosis	1/75	40/8016	0.314039585	0.7028189	0.6749138	10533	1
hsa05170	Human immunodeficiency virus 1 infection	3/75	212/8016	0.318732687	0.7028189	0.6749138	5063/596/578	3
hsa05219	Bladder cancer	1/75	41/8016	0.320489815	0.7028189	0.6749138	1870	1
hsa04110	Cell cycle	2/75	124/8016	0.323632294	0.7028189	0.6749138	7029/1870	2
hsa04962	Vasopressin-regulated water reabsorption	1/75	44/8016	0.339483580	0.7028189	0.6749138	84516	1
hsa04270	Vascular smooth muscle contraction	2/75	132/8016	0.351063017	0.7028189	0.6749138	4660/5739	2
hsa00514	Other types of O-glycan biosynthesis	1/75	46/8016	0.351854073	0.7028189	0.6749138	8704	1
hsa00600	Sphingolipid metabolism	1/75	47/8016	0.357953313	0.7028189	0.6749138	259230	1
hsa04973	Carbohydrate digestion and absorption	1/75	47/8016	0.357953313	0.7028189	0.6749138	57818	1
hsa04210	Apoptosis	2/75	136/8016	0.364646027	0.7028189	0.6749138	596/578	2
hsa04714	Thermogenesis	3/75	231/8016	0.367682462	0.7028189	0.6749138	6602/5563/6195	3
hsa04371	Apelin signaling pathway	2/75	137/8016	0.368025929	0.7028189	0.6749138	5563/6548	2
hsa04014	Ras signaling pathway	3/75	232/8016	0.370249711	0.7028189	0.6749138	5063/4303/8844	3
hsa05162	Measles	2/75	138/8016	0.371399139	0.7028189	0.6749138	596/578	2
hsa05165	Human papillomavirus infection	4/75	330/8016	0.372812987	0.7028189	0.6749138	3915/5527/1857/578	4
hsa05418	Fluid shear stress and atherosclerosis	2/75	139/8016	0.374765484	0.7028189	0.6749138	596/5563	2
hsa00510	N-Glycan biosynthesis	1/75	50/8016	0.375913280	0.7028189	0.6749138	8704	1
hsa05110	Vibrio cholerae infection	1/75	50/8016	0.375913280	0.7028189	0.6749138	10945	1
hsa04550	Signaling pathways regulating pluripotency of stem cells	2/75	140/8016	0.378124800	0.7028189	0.6749138	3977/1857	2
hsa04330	Notch signaling pathway	1/75	53/8016	0.393377366	0.7156120	0.6871990	1857	1
hsa04961	Endocrine and other factor-regulated calcium reabsorption	1/75	53/8016	0.393377366	0.7156120	0.6871990	163	1
hsa04514	Cell adhesion molecules (CAMs)	2/75	147/8016	0.401429946	0.7168683	0.6884054	100506658/9378	2
hsa04144	Endocytosis	3/75	249/8016	0.413567074	0.7168683	0.6884054	9267/57154/163	3
hsa01212	Fatty acid metabolism	1/75	57/8016	0.415914745	0.7168683	0.6884054	5538	1
hsa05014	Amyotrophic lateral sclerosis (ALS)	1/75	57/8016	0.415914745	0.7168683	0.6884054	596	1
hsa04921	Oxytocin signaling pathway	2/75	153/8016	0.421086844	0.7168683	0.6884054	5563/4660	2
hsa04390	Hippo signaling pathway	2/75	154/8016	0.424332206	0.7168683	0.6884054	1857/25937	2
hsa04934	Cushing syndrome	2/75	155/8016	0.427568448	0.7168683	0.6884054	1870/1857	2
hsa05416	Viral myocarditis	1/75	60/8016	0.432273694	0.7168683	0.6884054	6444	1
hsa00310	Lysine degradation	1/75	61/8016	0.437625563	0.7168683	0.6884054	6839	1
hsa04310	Wnt signaling pathway	2/75	160/8016	0.443608972	0.7168683	0.6884054	1857/57216	2
hsa04623	Cytosolic DNA-sensing pathway	1/75	63/8016	0.448180404	0.7168683	0.6884054	171568	1
hsa04630	JAK-STAT signaling pathway	2/75	162/8016	0.449957563	0.7168683	0.6884054	3977/596	2
hsa05161	Hepatitis B	2/75	162/8016	0.449957563	0.7168683	0.6884054	596/1870	2
hsa04137	Mitophagy - animal	1/75	65/8016	0.458539741	0.7168683	0.6884054	2309	1
hsa05321	Inflammatory bowel disease (IBD)	1/75	65/8016	0.458539741	0.7168683	0.6884054	6095	1
hsa04141	Protein processing in endoplasmic reticulum	2/75	166/8016	0.462534558	0.7168683	0.6884054	596/578	2
hsa04720	Long-term potentiation	1/75	67/8016	0.468707146	0.7168683	0.6884054	6195	1
hsa04530	Tight junction	2/75	169/8016	0.471859364	0.7168683	0.6884054	100506658/5563	2
hsa00010	Glycolysis / Gluconeogenesis	1/75	68/8016	0.473719973	0.7168683	0.6884054	57818	1
hsa05211	Renal cell carcinoma	1/75	69/8016	0.478686129	0.7180292	0.6895202	5063	1
hsa04917	Prolactin signaling pathway	1/75	70/8016	0.483606041	0.7191012	0.6905496	2309	1
hsa04976	Bile secretion	1/75	72/8016	0.493308830	0.7268934	0.6980325	6548	1
hsa05100	Bacterial invasion of epithelial cells	1/75	73/8016	0.498092546	0.7268934	0.6980325	10163	1
hsa03013	RNA transport	2/75	179/8016	0.502245570	0.7268934	0.6980325	23225/11102	2
hsa03320	PPAR signaling pathway	1/75	76/8016	0.512177926	0.7268934	0.6980325	2170	1
hsa05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	1/75	77/8016	0.516785817	0.7268934	0.6980325	6444	1
hsa04612	Antigen processing and presentation	1/75	78/8016	0.521350758	0.7268934	0.6980325	5993	1
hsa05167	Kaposi sarcoma-associated herpesvirus infection	2/75	186/8016	0.522853168	0.7268934	0.6980325	1870/578	2
hsa05202	Transcriptional misregulation in cancer	2/75	186/8016	0.522853168	0.7268934	0.6980325	8013/578	2
hsa04012	ErbB signaling pathway	1/75	85/8016	0.552135460	0.7498418	0.7200697	5063	1
hsa04610	Complement and coagulation cascades	1/75	85/8016	0.552135460	0.7498418	0.7200697	5648	1
hsa04260	Cardiac muscle contraction	1/75	86/8016	0.556370719	0.7498418	0.7200697	6548	1
hsa04512	ECM-receptor interaction	1/75	88/8016	0.564723036	0.7498418	0.7200697	3915	1
hsa04970	Salivary secretion	1/75	90/8016	0.572920158	0.7498418	0.7200697	6548	1
hsa05205	Proteoglycans in cancer	2/75	204/8016	0.573219447	0.7498418	0.7200697	4660/6548	2
hsa04666	Fc gamma R-mediated phagocytosis	1/75	93/8016	0.584931065	0.7498418	0.7200697	10163	1
hsa04350	TGF-beta signaling pathway	1/75	94/8016	0.588860154	0.7498418	0.7200697	57154	1
hsa05150	Staphylococcus aureus infection	1/75	96/8016	0.596608564	0.7498418	0.7200697	5648	1
hsa05414	Dilated cardiomyopathy (DCM)	1/75	96/8016	0.596608564	0.7498418	0.7200697	6444	1
hsa05017	Spinocerebellar ataxia	1/75	98/8016	0.604212857	0.7498418	0.7200697	6095	1
hsa05231	Choline metabolism in cancer	1/75	98/8016	0.604212857	0.7498418	0.7200697	10163	1
hsa04933	AGE-RAGE signaling pathway in diabetic complications	1/75	100/8016	0.611675678	0.7498418	0.7200697	596	1
hsa04916	Melanogenesis	1/75	101/8016	0.615354850	0.7498418	0.7200697	1857	1
hsa04064	NF-kappa B signaling pathway	1/75	102/8016	0.618999624	0.7498418	0.7200697	596	1
hsa04972	Pancreatic secretion	1/75	102/8016	0.618999624	0.7498418	0.7200697	6548	1
hsa05146	Amoebiasis	1/75	102/8016	0.618999624	0.7498418	0.7200697	3915	1
hsa04625	C-type lectin receptor signaling pathway	1/75	104/8016	0.626187245	0.7498418	0.7200697	8844	1
hsa04660	T cell receptor signaling pathway	1/75	104/8016	0.626187245	0.7498418	0.7200697	5063	1
hsa05163	Human cytomegalovirus infection	2/75	225/8016	0.627060692	0.7498418	0.7200697	1870/578	2
hsa04928	Parathyroid hormone synthesis, secretion and action	1/75	106/8016	0.633241044	0.7508888	0.7210751	596	1
hsa04659	Th17 cell differentiation	1/75	107/8016	0.636718531	0.7508888	0.7210751	6095	1
hsa04066	HIF-1 signaling pathway	1/75	109/8016	0.643576195	0.7537776	0.7238492	596	1
hsa04670	Leukocyte transendothelial migration	1/75	112/8016	0.653623879	0.7552006	0.7252157	100506658	1
hsa04725	Cholinergic synapse	1/75	112/8016	0.653623879	0.7552006	0.7252157	596	1
hsa04724	Glutamatergic synapse	1/75	114/8016	0.660166537	0.7576408	0.7275590	2899	1
hsa04919	Thyroid hormone signaling pathway	1/75	119/8016	0.675994476	0.7706337	0.7400361	6548	1
hsa05168	Herpes simplex virus 1 infection	4/75	491/8016	0.682750012	0.7723998	0.7417321	596/578/10795/400720	4
hsa04142	Lysosome	1/75	123/8016	0.688131189	0.7723998	0.7417321	5538	1
hsa04611	Platelet activation	1/75	124/8016	0.691094595	0.7723998	0.7417321	5739	1
hsa05016	Huntington disease	2/75	264/8016	0.713061671	0.7875078	0.7562401	163/84516	2
hsa04728	Dopaminergic synapse	1/75	132/8016	0.713822821	0.7875078	0.7562401	5527	1
hsa04915	Estrogen signaling pathway	1/75	138/8016	0.729778499	0.7999495	0.7681879	596	1
hsa05012	Parkinson disease	1/75	142/8016	0.739924619	0.8037889	0.7718748	9246	1
hsa04072	Phospholipase D signaling pathway	1/75	148/8016	0.754442987	0.8037889	0.7718748	9267	1
hsa04723	Retrograde endocannabinoid signaling	1/75	148/8016	0.754442987	0.8037889	0.7718748	22999	1
hsa03040	Spliceosome	1/75	149/8016	0.756783706	0.8037889	0.7718748	11325	1
hsa04932	Non-alcoholic fatty liver disease (NAFLD)	1/75	149/8016	0.756783706	0.8037889	0.7718748	5563	1
hsa04060	Cytokine-cytokine receptor interaction	2/75	294/8016	0.767552178	0.8101940	0.7780256	3557/3977	2
hsa04217	Necroptosis	1/75	162/8016	0.785281979	0.8238234	0.7911139	596	1
hsa04621	NOD-like receptor signaling pathway	1/75	181/8016	0.821103517	0.8561506	0.8221576	596	1
hsa04080	Neuroactive ligand-receptor interaction	2/75	340/8016	0.833842928	0.8594900	0.8253644	5739/2899	2
hsa04062	Chemokine signaling pathway	1/75	189/8016	0.834358728	0.8594900	0.8253644	2309	1
hsa04020	Calcium signaling pathway	1/75	193/8016	0.840618079	0.8607526	0.8265769	53373	1
hsa05203	Viral carcinogenesis	1/75	201/8016	0.852444890	0.8676671	0.8332168	578	1
hsa04024	cAMP signaling pathway	1/75	216/8016	0.872333393	0.8811341	0.8461491	6548	1
hsa05166	Human T-cell leukemia virus 1 infection	1/75	219/8016	0.875981250	0.8811341	0.8461491	1870	1
hsa04010	MAPK signaling pathway	1/75	295/8016	0.940720101	0.9407201	0.9033693	6195	1
