"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Class"
"GO:0071871","response to epinephrine","7/1196","16/18670","2.978707e-05","6.975890e-03","6.114518e-03","PDE4D/RNLS/ATP2B4/PRKACA/PDE4B/PPARGC1A/SLC9A1"," 7","BP"
"GO:0010975","regulation of neuron projection development","56/1196","499/18670","3.051237e-05","6.975890e-03","6.114518e-03","KIF13B/ADNP/MAP4K4/SEMA5A/PSEN1/CUX1/DCC/SKIL/NEGR1/PLXNA4/ROBO2/LZTS3/CD38/AMIGO1/CREB3L2/SEMA6A/SRCIN1/NTRK3/SEMA3E/INPP5F/PDLIM5/PMP22/MACF1/HGF/ABL1/EPHB2/CX3CL1/CACNG7/KREMEN1/TBX6/STK24/RTN4RL2/CAPRIN1/EPHA3/RIMS1/SEMA4D/ARHGAP35/SEMA4G/NEDD4/MEF2C/PAK3/SNX3/RGMA/SEMA5B/SEMA6D/TRIM67/SRF/SYT1/SEMA4A/ABL2/EPHA7/BDNF/NTRK2/NEDD4L/SEZ6/ZNF365","56","BP"
"GO:0001701","in utero embryonic development","45/1196","373/18670","3.216832e-05","7.007945e-03","6.142615e-03","OTUD7B/PTCH1/HM13/CHST11/ZMIZ1/SKIL/TBL1XR1/HOPX/RBPJ/NMT1/SH3PXD2A/GJB3/SMAD2/ZFP14/SMAD4/PDGFB/PYGO2/WNT9B/EMX1/VASH2/ETNK2/TGFBR2/MAN2A1/WDTC1/AR/LMX1B/SLC5A7/BIRC6/BCL2L1/PSMC4/ACVRL1/SRF/SLC39A1/MAFG/PCGF2/SOCS3/TP53/INPP5B/SMIM14/SOX10/LIF/TANC2/SENP2/GJA1/HEY2","45","BP"
"GO:0003002","regionalization","43/1196","351/18670","3.320696e-05","7.007945e-03","6.142615e-03","PTCH1/MEOX1/SUFU/HOXC10/GPR161/HOXA3/PSEN1/NBL1/MTF2/ACVR2B/HOXC8/ROBO2/PAX1/RBPJ/NKD1/SSBP3/BMPR1B/HIPK2/PRKACA/SMAD2/HIPK1/SMAD4/LRP6/EMX2/LHX3/TBX6/SKI/EMX1/MLLT3/AR/MEF2C/NRARP/LMX1B/TP63/CDON/PAX8/SRF/PCGF2/CELSR2/TP53/PBX3/SENP2/HEY2","43","BP"
"GO:0007389","pattern specification process","51/1196","446/18670","4.184022e-05","8.229332e-03","7.213187e-03","PTCH1/MEOX1/SUFU/HOXC10/GPR161/HOXA3/PSEN1/NBL1/MTF2/ACVR2B/HOXC8/ROBO2/PAX1/RBPJ/NKD1/LRRC6/SSBP3/BMPR1B/HIPK2/PRKACA/SMAD2/HIPK1/RFX3/SMAD4/LRP6/EMX2/LHX3/TBX6/SKI/STC1/EMX1/TBX5/TGFBR2/DAAM2/MLLT3/AR/MEF2C/NRARP/LMX1B/TP63/CDON/PAX8/ACVRL1/SRF/PCGF2/CELSR2/TP53/PBX3/SENP2/GJA1/HEY2","51","BP"
"GO:0021953","central nervous system neuron differentiation","27/1196","183/18670","4.199404e-05","8.229332e-03","7.213187e-03","PTCH1/SUFU/DCLK1/HOXC10/PSEN1/MDGA1/NFIB/DCC/PLXNA4/ROBO2/SLC4A10/SOX4/LMX1A/ZC4H2/ID4/LRP6/LHX3/EPHB2/WNT9B/EMX1/ARHGAP35/MDGA2/LHX6/POU4F1/NTRK2/RORA/PROX1","27","BP"
"GO:0048863","stem cell differentiation","34/1196","257/18670","4.669135e-05","8.834326e-03","7.743477e-03","MEOX1/SEMA5A/REST/ESR1/CHD2/KBTBD8/PSMF1/KMT2A/CDK6/MTF2/PRICKLE1/RBPJ/SEMA6A/SEMA3E/SMAD4/LRP6/ABL1/TBX5/PSMD11/SEMA4D/SEMA4G/MEF2C/HNRNPU/CBFB/SEMA5B/TP63/SEMA6D/PSMC4/SRF/MSI2/SEMA4A/TP53/SOX10/LIF","34","BP"
"GO:0050769","positive regulation of neurogenesis","53/1196","474/18670","5.446033e-05","9.879194e-03","8.659326e-03","ADNP/SEMA5A/MMD2/PSEN1/REST/CUX1/DNMT3B/NBL1/SKIL/NEGR1/PLAG1/PLXNA4/ROBO2/CLCF1/AMIGO1/CREB3L2/SEMA6A/NTRK3/ZC4H2/MACF1/HGF/EPHB2/CX3CL1/CRX/CACNG7/OPRM1/CAPRIN1/MAN2A1/EPHA3/RIMS1/SEMA4D/ARHGAP35/MEF2C/NEUROD2/PAK3/SNX3/BCL2/CDON/TRIM67/SRF/TCF4/ZNF609/SPAG9/SYT1/ABL2/BDNF/NTRK2/NEDD4L/SOX10/LIF/KCTD11/PROX1/ZNF365","53","BP"
"GO:0016573","histone acetylation","24/1196","156/18670","5.581465e-05","9.879194e-03","8.659326e-03","MECP2/KAT5/NAA50/PHF20/KMT2A/NAA60/NOS1/OGT/SMAD4/ING5/KANSL1/SET/PYGO2/WBP2/SDR16C5/PPARGC1A/SUPT7L/BRPF3/DPF3/PCGF2/MSL2/CLOCK/GTF3C4/LIF","24","BP"
"GO:0048705","skeletal system morphogenesis","32/1196","239/18670","6.110984e-05","9.948140e-03","8.719759e-03","ARID5B/HOXA3/PSEN1/CHST11/ACVR2B/HOXC8/PAX1/MMP2/BMPR1B/SMAD2/LRP6/PLEKHA1/PPARGC1B/MEF2D/OTOR/TFAP2A/WNT9B/SKI/STC1/TGFBR2/MMP14/FMN1/MEF2C/NAB2/FOXN3/VWA1/GNAS/SMPD3/SLC39A1/PCGF2/TBX15/BMP1","32","BP"
"GO:0048167","regulation of synaptic plasticity","27/1196","187/18670","6.156747e-05","9.948140e-03","8.719759e-03","KCNB1/MECP2/SYNGR1/SHISA7/PSEN1/ADORA2A/CD38/SLC4A10/SHISA6/GRIN2A/RAB5A/ABL1/EPHB2/CX3CL1/FAM107A/EIF4EBP2/RIMS1/CAMK2A/MEF2C/SHISA9/MPP2/NCDN/NEUROD2/SLC24A2/SRF/NTRK2/SYT7","27","BP"
"GO:0050807","regulation of synapse organization","30/1196","218/18670","6.164329e-05","9.948140e-03","8.719759e-03","ADNP/SHISA7/MDGA1/NRXN1/ROBO2/LZTS3/AMIGO1/CLSTN2/CRIPT/SHISA6/SRCIN1/NTRK3/PDLIM5/ABL1/EPHB2/GRIPAP1/CAPRIN1/SEMA4D/ARHGEF15/NEDD4/MEF2C/VPS35/LRTM2/SLITRK3/NEUROD2/PAK3/SEMA4A/EPHA7/BDNF/NTRK2","30","BP"
"GO:0032409","regulation of transporter activity","36/1196","283/18670","6.511034e-05","1.020744e-02","8.947042e-03","CNIH3/SHISA7/ALG10B/ATP1B1/KMT2A/PDE4D/AMIGO1/CACNG2/NOS1/PRKACA/SHISA6/GRIN2A/PDE4B/GRIA2/KCNS1/EPHB2/WWP2/CACNG7/CTTNBP2NL/OPRM1/PPARGC1A/CACNB4/NEDD4/CACNB2/SLC9A1/MEF2C/SHISA9/FGF12/TLR9/BCL2/LRRC55/NEDD4L/WNK4/CALM3/GJA1/TRDN","36","BP"
"GO:0018394","peptidyl-lysine acetylation","25/1196","169/18670","7.622519e-05","1.161799e-02","1.018342e-02","MECP2/KAT5/NAA50/PHF20/KMT2A/NAA60/NOS1/SOX4/OGT/SMAD4/ING5/KANSL1/SET/PYGO2/WBP2/SDR16C5/PPARGC1A/SUPT7L/BRPF3/DPF3/PCGF2/MSL2/CLOCK/GTF3C4/LIF","25","BP"
"GO:0018393","internal peptidyl-lysine acetylation","24/1196","161/18670","9.305875e-05","1.380036e-02","1.209631e-02","MECP2/KAT5/NAA50/PHF20/KMT2A/NAA60/NOS1/OGT/SMAD4/ING5/KANSL1/SET/PYGO2/WBP2/SDR16C5/PPARGC1A/SUPT7L/BRPF3/DPF3/PCGF2/MSL2/CLOCK/GTF3C4/LIF","24","BP"
"GO:1900274","regulation of phospholipase C activity","11/1196","45/18670","9.570388e-05","1.381914e-02","1.211277e-02","ESR1/NTRK3/ADCYAP1R1/FGF2/ABL1/HTR2A/ITK/ABL2/BDNF/NTRK2/AVPR1B","11","BP"
"GO:0046928","regulation of neurotransmitter secretion","18/1196","104/18670","1.000844e-04","1.408110e-02","1.234239e-02","ATP2A2/SYT11/ADORA2A/ASIC1/CHRM2/RAB5A/BACE1/PRKCB/RIMS1/CAMK2A/CACNB2/MEF2C/HTR2A/FBXL20/PREPL/SNCAIP/SYT1/CALM3","18","BP"
"GO:0022898","regulation of transmembrane transporter activity","34/1196","268/18670","1.082906e-04","1.461612e-02","1.281134e-02","CNIH3/SHISA7/ALG10B/ATP1B1/PDE4D/AMIGO1/CACNG2/NOS1/PRKACA/SHISA6/GRIN2A/PDE4B/GRIA2/KCNS1/EPHB2/WWP2/CACNG7/OPRM1/PPARGC1A/CACNB4/NEDD4/CACNB2/SLC9A1/MEF2C/SHISA9/FGF12/TLR9/BCL2/LRRC55/NEDD4L/WNK4/CALM3/GJA1/TRDN","34","BP"
"GO:0050770","regulation of axonogenesis","26/1196","183/18670","1.095989e-04","1.461612e-02","1.281134e-02","KIF13B/ADNP/SEMA5A/PSEN1/DCC/SKIL/PLXNA4/ROBO2/AMIGO1/SEMA6A/NTRK3/SEMA3E/MACF1/ABL1/EPHB2/SEMA4D/ARHGAP35/SEMA4G/PAK3/SEMA5B/SEMA6D/SRF/SEMA4A/EPHA7/BDNF/NTRK2","26","BP"
"GO:0006473","protein acetylation","28/1196","204/18670","1.118784e-04","1.461612e-02","1.281134e-02","MECP2/KAT5/NAA15/NAA50/PHF20/KMT2A/NAA60/NOS1/SOX4/OGT/SMAD4/ING5/KANSL1/SET/PYGO2/WBP2/SDR16C5/PPARGC1A/TAOK1/FOXO1/SUPT7L/BRPF3/DPF3/PCGF2/MSL2/CLOCK/GTF3C4/LIF","28","BP"
"GO:0045666","positive regulation of neuron differentiation","43/1196","371/18670","1.204614e-04","1.515192e-02","1.328098e-02","ADNP/SEMA5A/MMD2/PSEN1/REST/CUX1/DNMT3B/NBL1/SKIL/NEGR1/PLXNA4/ROBO2/AMIGO1/CREB3L2/NTRK3/ZC4H2/MACF1/HGF/CX3CL1/CRX/CACNG7/CAPRIN1/EPHA3/RIMS1/SEMA4D/ARHGAP35/MEF2C/NEUROD2/PAK3/SNX3/BCL2/CDON/TRIM67/SRF/TCF4/SPAG9/SYT1/ABL2/BDNF/NTRK2/NEDD4L/KCTD11/PROX1","43","BP"
"GO:0046488","phosphatidylinositol metabolic process","25/1196","174/18670","1.229511e-04","1.515192e-02","1.328098e-02","SOCS7/INPP4A/PLEKHA8/EFR3B/PIK3R1/PIP4K2B/PLEKHA2/PIK3CG/FGF2/RAB5A/INPP5F/HTR2C/PLEKHA1/PIK3CB/PDGFB/PIK3R3/SOCS5/MTMR4/SMG1/PI4K2B/HTR2A/PIK3C2A/SOCS3/INPP5B/TMEM150A","25","BP"
"GO:0048841","regulation of axon extension involved in axon guidance","9/1196","32/18670","1.288607e-04","1.515192e-02","1.328098e-02","SEMA5A/PLXNA4/SEMA6A/SEMA3E/SEMA4D/SEMA4G/SEMA5B/SEMA6D/SEMA4A"," 9","BP"
"GO:0051963","regulation of synapse assembly","18/1196","106/18670","1.288682e-04","1.515192e-02","1.328098e-02","ADNP/MDGA1/NRXN1/ROBO2/AMIGO1/CLSTN2/NTRK3/PDLIM5/EPHB2/SEMA4D/MEF2C/VPS35/LRTM2/SLITRK3/SEMA4A/EPHA7/BDNF/NTRK2","18","BP"
"GO:0050803","regulation of synapse structure or activity","30/1196","227/18670","1.297868e-04","1.515192e-02","1.328098e-02","ADNP/SHISA7/MDGA1/NRXN1/ROBO2/LZTS3/AMIGO1/CLSTN2/CRIPT/SHISA6/SRCIN1/NTRK3/PDLIM5/ABL1/EPHB2/GRIPAP1/CAPRIN1/SEMA4D/ARHGEF15/NEDD4/MEF2C/VPS35/LRTM2/SLITRK3/NEUROD2/PAK3/SEMA4A/EPHA7/BDNF/NTRK2","30","BP"
"GO:0006352","DNA-templated transcription, initiation","32/1196","249/18670","1.338720e-04","1.530324e-02","1.341362e-02","NR2C2/MECP2/POLR2F/ESR1/POLR3H/HNF4A/RBPJ/E2F2/ESRRG/GTF2A2/NR5A2/CRCP/TBX5/NR3C1/PPARGC1A/CD3EAP/BRF2/MED13/AR/THRB/CBFB/MED6/PSMC4/SRF/TCF4/MITF/TP53/GTF3C4/SUB1/GTF2E1/RORA/HEY2","32","BP"
"GO:0007409","axonogenesis","51/1196","468/18670","1.429292e-04","1.583351e-02","1.387841e-02","PTCH1/KIF13B/ADNP/DCLK1/SEMA5A/PSEN1/NFIB/DCC/SKIL/PIK3R1/APBB2/PLXNA4/NRXN1/ROBO2/AMIGO1/BMPR1B/SEMA6A/NTRK3/SEMA3E/LMX1A/NEO1/MACF1/SMAD4/GAB1/ABL1/LHX3/EPHB2/PIK3CB/STMN1/SOS1/EPHA3/SEMA4D/ARHGAP35/SEMA4G/ETV1/UNC5C/LRTM2/SLITRK3/NTNG1/PAK3/NFASC/CCK/SEMA5B/BCL2/SEMA6D/POU4F1/SRF/SEMA4A/EPHA7/BDNF/NTRK2","51","BP"
"GO:0006475","internal protein amino acid acetylation","24/1196","166/18670","1.510561e-04","1.583351e-02","1.387841e-02","MECP2/KAT5/NAA50/PHF20/KMT2A/NAA60/NOS1/OGT/SMAD4/ING5/KANSL1/SET/PYGO2/WBP2/SDR16C5/PPARGC1A/SUPT7L/BRPF3/DPF3/PCGF2/MSL2/CLOCK/GTF3C4/LIF","24","BP"
"GO:0060021","roof of mouth development","16/1196","89/18670","1.514354e-04","1.583351e-02","1.387841e-02","BNC2/ARID5B/ACVR2B/SMAD2/SMAD4/LRP6/EPHB2/PLEKHA1/PYGO2/TFAP2A/GABRB3/WNT9B/SKI/SOS1/TGFBR2/MEF2C","16","BP"
"GO:0050768","negative regulation of neurogenesis","36/1196","295/18670","1.522510e-04","1.583351e-02","1.387841e-02","MAP4K4/SEMA5A/PSEN1/REST/DCC/CD38/SEMA6A/SLC6A4/NTRK3/SEMA3E/LMX1A/INPP5F/PMP22/ID4/EPHB2/CX3CL1/KREMEN1/TBX6/SKI/RTN4RL2/DAAM2/SEMA4D/SEMA4G/THRB/PCM1/RGMA/SEMA5B/MBD1/SEMA6D/SEMA4A/EPHA7/TP53/SOX10/HOOK3/KCTD11/ZNF365","36","BP"
"GO:0048843","negative regulation of axon extension involved in axon guidance","8/1196","26/18670","1.529389e-04","1.583351e-02","1.387841e-02","SEMA5A/SEMA6A/SEMA3E/SEMA4D/SEMA4G/SEMA5B/SEMA6D/SEMA4A"," 8","BP"
"GO:0034765","regulation of ion transmembrane transport","52/1196","483/18670","1.673001e-04","1.699955e-02","1.490047e-02","KCNJ12/KCNB1/CNIH3/SHISA7/ALG10B/HCN1/ATP1B1/PSEN1/CACNA2D2/SCN8A/RGS4/PDE4D/AMIGO1/CYBB/CACNG2/ATP2B4/NOS1/PRKACA/KCNMA1/SHISA6/GRIN2A/PDE4B/PIK3CG/GRIA2/KCNS1/ABL1/EPHB2/CX3CL1/WWP2/CACNG7/CACNA1I/OPRM1/PPARGC1A/CACNB4/NEDD4/CACNB2/SLC9A1/MEF2C/SHISA9/FGF12/TLR9/CACNA1A/KCNJ5/LRRC55/KCNIP3/CALHM1/NEDD4L/WNK4/CALM3/CACNA1E/GJA1/TRDN","52","BP"
"GO:0006367","transcription initiation from RNA polymerase II promoter","26/1196","188/18670","1.711046e-04","1.705500e-02","1.494908e-02","NR2C2/MECP2/POLR2F/ESR1/HNF4A/RBPJ/E2F2/ESRRG/GTF2A2/NR5A2/TBX5/NR3C1/PPARGC1A/MED13/AR/THRB/CBFB/MED6/PSMC4/SRF/TCF4/TP53/SUB1/GTF2E1/RORA/HEY2","26","BP"
"GO:1900449","regulation of glutamate receptor signaling pathway","13/1196","64/18670","1.755267e-04","1.705500e-02","1.494908e-02","CNIH3/SHISA7/CACNG2/SHISA6/GRIN2A/GRIA2/EPHB2/CX3CL1/CACNG7/OPRM1/PPARGC1A/MEF2C/SHISA9","13","BP"
