mirnaid,refseqid,genesymbol,start,end,bindingp,energy,seed,accessibility,au,phylopstem,phylopflank,me,number_of_pairings,binding_region_length,longest_consecutive_pairings,position,validated,TargetScan,miRDB
hsa-miR-10b-5p,XM_005245510,SNX27,2138,2150,0.961538461538,-19.7,1,0.001223137,0.5,0.0,0.0,-6.782339277446944,11,12,11,3UTR,,0,0
hsa-miR-10b-5p,NM_178820,FBXO27,1823,1873,0.961538461538,-22.4,1,0.001051498,0.515,0.01666587499999999,-0.0019692825000000164,-8.340767414043784,18,23,8,3UTR,,0,0
hsa-miR-10b-5p,NM_006890,CEACAM7,1714,1759,0.961538461538,-20.5,1,0.003335581,0.647,-0.24892506,0.3255544799999999,-4.849714495602881,17,19,17,3UTR,,0,0
hsa-miR-10b-5p,NM_001127321,CBX5,3347,3360,0.961538461538,-19.1,1,2.009006e-05,0.515,-0.13589376666666667,0.27281891949999987,-6.747589273982352,12,13,12,3UTR,,1,0
hsa-miR-10b-5p,NM_173595,ANKRD52,6725,6751,0.961538461538,-19.3,1,0.0005492016,0.412,3.891290072727273,3.3696349475,-7.202645801464468,14,18,11,3UTR,,0,0
hsa-miR-10b-5p,NM_001168236,ABL2,8818,8838,0.961538461538,-19.5,1,0.001386459,0.618,2.2622272857142858,2.80565472125,-6.827670524181695,16,20,7,3UTR,,0,0
hsa-miR-10b-5p,NM_001136000,ABL2,8285,8305,0.961538461538,-19.5,1,0.001386459,0.618,1.9049883857142855,2.85458114625,-6.827670524181695,16,20,7,3UTR,,0,0
hsa-miR-10b-5p,NM_178441,ZFYVE1,1232,1245,0.961538461538,-20.1,1,0.00148421,0.485,-0.5812889000000001,0.9276085337500004,-7.075458407091997,12,13,12,3UTR,,0,0
hsa-miR-10b-5p,NM_153648,SLC24A4,2130,2145,0.961538461538,-18.1,1,2.629402e-05,0.544,-0.72602481,0.0008243012500000202,-7.371380111199145,13,15,10,3UTR,MIRT636234,0,1
hsa-miR-10b-5p,NM_153646,SLC24A4,2228,2243,0.961538461538,-18.1,1,2.629402e-05,0.544,-0.72602481,0.0008243012500000202,-7.371380111199145,13,15,10,3UTR,MIRT636234,0,1
hsa-miR-10b-5p,NM_032503,MCHR2,1492,1509,0.961538461538,-16.4,1,1.56769e-05,0.574,4.584753500000001,3.16098045,-7.506149279872995,12,17,6,3UTR,,0,0
hsa-miR-10b-5p,NM_031459,SESN2,3385,3400,0.961538461538,-20.3,1,0.0004986398,0.456,1.1540497142857142,0.8837898418749999,-7.236136814494244,12,15,7,3UTR,,0,0
hsa-miR-10b-5p,NM_001430,EPAS1,3440,3491,0.961538461538,-21.6,1,0.00167251,0.647,0.7461539775757579,0.9097221385000004,-4.95700071937229,20,35,11,3UTR,,0,0
hsa-miR-10b-5p,XM_011512222,HDAC4,5937,5973,0.961538461538,-24.0,1,0.01126347,0.603,0.0,0.0,-3.937574446201665,20,26,11,3UTR,,1,0
hsa-miR-10b-5p,NM_001136239,PRDM6,3472,3489,0.961538461538,-17.6,1,0.007173739,0.618,-0.04345572222222221,-0.02072460374999996,-5.227013184751041,14,17,6,3UTR,,0,0
hsa-miR-10b-5p,NM_015541,LRIG1,3713,3738,0.961538461538,-19.8,1,0.000565528,0.529,4.5924900625000005,3.115407125,-9.06124504818596,20,25,14,3UTR,,0,0
hsa-miR-10b-5p,NM_001348430,ZNF148,8894,8921,0.961538461538,-19.8,1,0.008953052,0.706,4.121138750000001,2.7580928725,-9.062474867049318,18,27,8,3UTR,,0,0
hsa-miR-10b-5p,NM_016239,MYO15A,11301,11319,0.961538461538,-17.3,1,6.825742e-05,0.485,-0.08130646249999998,-0.10428899499999997,-7.163349424783512,14,18,8,3UTR,,0,0
hsa-miR-10b-5p,NM_001316321,CCDC57,4920,4941,0.974358974359,-19.7,1,0.01607247,0.368,1.1851321000000001,0.70779602575,-14.985014105259387,15,21,10,3UTR,,0,0
hsa-miR-10b-5p,NM_001166664,CD244,1531,1567,0.974358974359,-20.2,1,2.020739e-05,0.353,0.6207319117647058,0.161066965,-4.906073086755913,14,19,9,3UTR,,0,0
hsa-miR-10b-5p,NM_016382,CD244,1807,1843,0.974358974359,-20.2,1,2.020739e-05,0.353,-0.36898898235294125,-0.057718568749999984,-4.906073086755913,14,19,9,3UTR,,0,0
hsa-miR-10b-5p,NM_001166663,CD244,1822,1858,0.974358974359,-20.2,1,2.020739e-05,0.353,1.0132945352941176,-0.09988853874999984,-4.906073086755913,14,19,9,3UTR,,0,0
hsa-miR-10b-5p,NM_016308,CMPK1,2120,2143,0.974358974359,-20.2,1,0.03070456,0.676,-0.24180460000000004,0.59346779,-7.674488971013231,19,23,8,3UTR,MIRT071380,0,0
hsa-miR-10b-5p,NM_001136140,CMPK1,1973,1996,0.974358974359,-20.2,1,0.03070456,0.676,-0.24180460000000004,0.59346779,-7.674488971013231,19,23,8,3UTR,MIRT071380,0,0
hsa-miR-10b-5p,XM_005269126,TMBIM6,2797,2824,0.974358974359,-19.8,1,0.003259601,0.632,0.0,0.0,-6.514540193678739,20,27,12,3UTR,,0,0
hsa-miR-10b-5p,XM_024449169,TMBIM6,2500,2527,0.974358974359,-19.8,1,0.003259601,0.632,0.0,0.0,-6.514540193678739,20,27,12,3UTR,,0,0
hsa-miR-10b-5p,XM_024449174,TMBIM6,2504,2531,0.974358974359,-19.8,1,0.003259601,0.632,0.0,0.0,-6.514540193678739,20,27,12,3UTR,,0,0
hsa-miR-10b-5p,NM_030961,TRIM56,3096,3144,0.980769230769,-21.9,1,0.001222711,0.397,-0.17953655555555556,-0.25579112335,-8.237904470243807,13,17,9,3UTR,,0,0
hsa-miR-10b-5p,NM_001280556,PAX5,5110,5124,1.0,-17.7,1,0.0004680914,0.5,0.001246700000000008,-0.04951308000000002,-7.506149279872995,12,14,6,3UTR,,0,0
hsa-miR-10b-5p,NM_001280553,PAX5,5060,5074,1.0,-17.7,1,0.0004680914,0.5,0.024787466666666664,-0.05554525999999996,-7.506149279872995,12,14,6,3UTR,,0,0
hsa-miR-10b-5p,NM_001280554,PAX5,5147,5161,1.0,-17.7,1,0.0004680914,0.5,0.05293700000000001,-0.005340392499999992,-7.506149279872995,12,14,6,3UTR,,0,0
hsa-miR-10b-5p,NM_001280549,PAX5,5044,5058,1.0,-17.7,1,0.0004680914,0.5,-0.25770086666666664,-0.05995898249999999,-7.506149279872995,12,14,6,3UTR,,0,0
hsa-miR-10b-5p,NM_001280552,PAX5,5087,5101,1.0,-17.7,1,0.0004680914,0.5,0.04832803333333333,-0.070171475,-7.506149279872995,12,14,6,3UTR,,0,0
hsa-miR-10b-5p,NM_001280547,PAX5,5174,5188,1.0,-17.7,1,0.0004680914,0.5,0.07948319999999999,-0.063438165,-7.506149279872995,12,14,6,3UTR,,0,0
hsa-miR-10b-5p,NM_001280548,PAX5,5189,5203,1.0,-17.7,1,0.0004680914,0.5,0.079483,-0.06154228749999999,-7.506149279872995,12,14,6,3UTR,,0,0
hsa-miR-10b-5p,NM_016734,PAX5,5276,5290,1.0,-17.7,1,0.0004680914,0.5,0.4245797,-0.01475502499999998,-7.506149279872995,12,14,6,3UTR,,0,0
hsa-miR-10b-5p,NM_003028,SHB,3261,3279,1.0,-22.4,1,9.498775e-07,0.426,4.1054118181818176,1.9391325512499993,-9.779611548941542,16,18,11,3UTR,,0,0
hsa-miR-10b-5p,NM_015225,PRUNE2,12220,12239,1.0,-17.6,1,0.003089006,0.588,2.7153293333333335,2.9845344125,-5.618663395431772,12,14,12,3UTR,,0,0
hsa-miR-10b-5p,NM_001308047,PRUNE2,12142,12161,1.0,-17.6,1,0.003089006,0.588,2.7153293333333335,2.9845344125,-5.618663395431772,12,14,12,3UTR,,0,0
hsa-miR-10b-5p,NM_001330680,PRUNE2,4165,4184,1.0,-17.6,1,0.003089006,0.588,3.0464248366666666,1.4415164652499997,-5.618663395431772,12,14,12,3UTR,,0,0
hsa-miR-10b-5p,XM_011518323,PRUNE2,12356,12375,1.0,-17.6,1,0.003089006,0.588,0.0,0.0,-5.618663395431772,12,14,12,3UTR,,0,0
hsa-miR-10b-5p,NM_174938,FRMD3,2053,2077,1.0,-22.2,1,3.392059e-05,0.529,0.8424357625000001,0.2765251925,-5.570060452532049,19,24,8,3UTR,,0,0
hsa-miR-10b-5p,NM_024077,SECISBP2,3154,3166,1.0,-17.3,1,0.01138978,0.426,0.09120175,0.02278185625000001,-12.097077144933243,10,12,8,3UTR,,0,0
hsa-miR-10b-5p,NM_001282689,SECISBP2,3033,3045,1.0,-17.3,1,0.01138978,0.426,0.09120175,0.02278185625000001,-12.097077144933243,10,12,8,3UTR,,0,0
hsa-miR-10b-5p,NM_153695,ZNF367,2263,2280,1.0,-16.6,1,3.866811e-05,0.632,2.182414777777778,2.66309068375,-10.933401262918071,11,17,9,3UTR,,1,1
hsa-miR-10b-5p,NM_018421,TBC1D2,3215,3227,1.0,-16.9,1,9.119173e-05,0.588,0.0,0.0,-10.39884692653892,11,12,11,3UTR,,0,0
hsa-miR-10b-5p,NM_001267571,TBC1D2,3248,3260,1.0,-16.9,1,9.119173e-05,0.588,0.0,0.0,-10.39884692653892,11,12,11,3UTR,,0,0
hsa-miR-10b-5p,NM_001267572,TBC1D2,2020,2039,1.0,-17.1,1,9.119173e-05,0.588,0.3421316363636363,-0.09475675250000001,-10.39884692653892,11,13,11,3UTR,,0,0
hsa-miR-10b-5p,NM_006808,SEC61B,455,489,1.0,-17.6,1,0.0001565937,0.691,1.9048420454545452,1.9501038837500002,-6.782339277446944,11,13,11,3UTR,,0,0
hsa-miR-10b-5p,NM_173200,NR4A3,3691,3707,1.0,-20.1,1,0.0004009781,0.588,4.550636222222223,1.1182596462749996,-8.237904470243807,13,16,9,3UTR,MIRT025586,1,1
hsa-miR-10b-5p,NM_006981,NR4A3,3619,3635,1.0,-20.1,1,0.0004009781,0.588,0.8750072852222224,2.1432028958375002,-8.237904470243807,13,16,9,3UTR,MIRT025586,1,1
hsa-miR-10b-5p,NM_019592,RNF20,3803,3850,1.0,-16.1,1,0.0003718468,0.618,0.9644046363636363,0.15573815374999997,-5.9392953675437665,13,17,11,3UTR,,0,1
hsa-miR-10b-5p,NM_005502,ABCA1,7933,7948,1.0,-20.7,1,3.272383e-05,0.603,5.065499439999999,5.047783817499999,-7.373177227257086,13,15,10,3UTR,,0,0
hsa-miR-10b-5p,NM_145051,RNF183,699,747,1.0,-22.3,1,0.0002660263,0.544,0.05903908333333333,0.6732423525,-5.838533207394711,16,20,7,3UTR,,0,0
hsa-miR-10b-5p,NM_133374,ZNF618,4298,4340,1.0,-23.8,1,5.943142e-05,0.485,-0.17270006666666665,0.13389356749999998,-4.6730240064523,21,42,9,3UTR,,0,0
hsa-miR-10b-5p,NM_001318040,ZNF618,4478,4520,1.0,-23.8,1,5.943142e-05,0.485,-0.17270006666666665,0.13389356749999998,-4.6730240064523,21,42,9,3UTR,,0,0
hsa-miR-10b-5p,NM_001330760,TMEM268,2970,2987,1.0,-17.2,1,4.567983e-05,0.515,-0.031902554545454535,-0.088221783375,-10.342201311511984,13,17,7,3UTR,,0,1
hsa-miR-10b-5p,NM_153045,TMEM268,3714,3742,1.0,-17.1,1,0.000206842,0.485,-0.12663814285714284,0.11583941787499996,-12.655836240692615,12,18,7,3UTR,,0,1
hsa-miR-10b-5p,NM_020746,MAVS,8776,8798,1.0,-21.3,1,0.0003107988,0.603,-0.2653309333333333,-0.10447398499999999,-5.692450279622925,13,16,12,3UTR,MIRT661939,0,0
hsa-miR-10b-5p,NM_001206491,MAVS,8601,8623,1.0,-21.3,1,0.0003107988,0.603,-0.39459065,-0.0016050175000000277,-5.692450279622925,13,16,12,3UTR,MIRT661939,0,0
hsa-miR-10b-5p,NM_001330987,TMEM230,878,893,1.0,-21.3,1,0.000844395,0.485,-0.3779157,-0.00835364625000004,-11.077650871762618,12,15,10,3UTR,,0,0
hsa-miR-10b-5p,NM_001282550,BTBD3,2736,2746,1.0,-15.6,1,0.0009921196,0.559,1.8516116666666664,1.282524532,-13.079371793104722,9,10,9,3UTR,,0,0
hsa-miR-10b-5p,NM_014962,BTBD3,3154,3164,1.0,-15.6,1,0.0009921196,0.559,0.8001465555555556,1.0935893300000004,-13.079371793104722,9,10,9,3UTR,,0,0
hsa-miR-10b-5p,NM_001282551,BTBD3,2832,2842,1.0,-15.6,1,0.0009921196,0.559,1.8516116666666664,1.282524532,-13.079371793104722,9,10,9,3UTR,,0,0
hsa-miR-10b-5p,NM_000687,AHCY,2057,2083,1.0,-17.2,1,3.32841e-08,0.588,1.9489286363636362,2.2276318375000006,-5.813840636892696,13,18,11,3UTR,MIRT705848,0,0
hsa-miR-10b-5p,NM_006690,MMP24,2937,2971,1.0,-19.9,1,9.387188e-05,0.382,0.7734631249999999,0.13377487500000004,-11.361627584682608,16,20,11,3UTR,,0,0
hsa-miR-10b-5p,NM_001301860,LPIN3,4073,4116,1.0,-21.7,1,2.444742e-05,0.485,-0.16397966666666666,0.09919071999999998,-5.925499359926538,12,14,12,3UTR,MIRT761168,0,0
hsa-miR-10b-5p,NM_032221,CHD6,8470,8494,1.0,-16.8,1,0.006531836,0.618,3.8821293333333333,6.029661037499999,-13.079371793104722,15,24,9,3UTR,,1,1
hsa-miR-10b-5p,NM_007050,PTPRT,5224,5247,1.0,-16.9,1,0.001259825,0.5,0.567646495,0.06141578549999998,-11.361627584682608,11,15,8,3UTR,MIRT047447,0,0
hsa-miR-10b-5p,NM_133170,PTPRT,5281,5304,1.0,-16.9,1,0.001259825,0.5,-0.124574885,0.11385657249999992,-11.361627584682608,11,15,8,3UTR,MIRT047447,0,0
hsa-miR-10b-5p,NM_001291873,IGF2BP2,2118,2135,1.0,-18.4,1,2.017204e-05,0.603,1.300359,1.7713289775,-6.971920133026242,13,17,8,3UTR,,0,0
hsa-miR-10b-5p,NM_004454,ETV5,3921,3935,1.0,-17.5,1,0.002768375,0.559,1.0973698333333333,1.4855077374999999,-7.075458407091997,12,14,6,3UTR,,0,0
hsa-miR-10b-5p,NM_001080745,DGKG,5071,5091,1.0,-19.5,1,7.562704e-05,0.574,2.3545125,1.9491485429249993,-8.707035959654831,18,20,10,3UTR,,0,0
hsa-miR-10b-5p,NM_001080744,DGKG,5113,5133,1.0,-19.5,1,7.562704e-05,0.574,2.3545125,1.9491485429249993,-8.707035959654831,18,20,10,3UTR,,0,0
hsa-miR-10b-5p,NM_001346,DGKG,5188,5208,1.0,-19.5,1,7.562704e-05,0.574,2.3545125,1.9491485429249993,-8.707035959654831,18,20,10,3UTR,,0,0
hsa-miR-10b-5p,NM_001146686,GMNC,1212,1222,1.0,-16.1,1,0.01689976,0.618,0.18741822222222224,0.24421401500000003,-11.418273199709544,9,10,9,3UTR,,0,0
hsa-miR-10b-5p,XM_011512556,NCBP2,1678,1698,1.0,-19.6,1,0.0003454846,0.529,0.0,0.0,-5.1900497996759025,13,16,9,3UTR,,0,0
hsa-miR-10b-5p,XM_011512557,NCBP2,1792,1812,1.0,-19.6,1,0.0003454846,0.529,0.0,0.0,-5.1900497996759025,13,16,9,3UTR,,0,0
hsa-miR-10b-5p,XM_011512558,NCBP2,1717,1737,1.0,-19.6,1,0.0003454846,0.529,0.0,0.0,-5.1900497996759025,13,16,9,3UTR,,0,0
hsa-miR-10b-5p,NM_001042540,NCBP2,1528,1548,1.0,-19.6,1,0.0003454846,0.529,0.7595034285714286,0.08278731999999998,-5.1900497996759025,13,16,9,3UTR,,0,0
hsa-miR-10b-5p,NM_007362,NCBP2,1687,1707,1.0,-19.6,1,0.0003454846,0.529,4.284318785714285,4.850437422499999,-5.1900497996759025,13,16,9,3UTR,,0,0
hsa-miR-10b-5p,NM_001308036,NCBP2,2025,2045,1.0,-19.6,1,0.0003454846,0.529,-0.04054302857142856,0.4232505287499998,-5.1900497996759025,13,16,9,3UTR,,0,0
hsa-miR-10b-5p,NM_203315,BDH1,2255,2274,1.0,-18.5,1,4.350655e-05,0.397,2.9518754,3.4879256650000006,-5.838533207394711,15,19,10,3UTR,,0,0
hsa-miR-10b-5p,NM_004051,BDH1,2319,2338,1.0,-18.5,1,4.350655e-05,0.397,2.7319574200000005,3.3728124424999995,-5.838533207394711,15,19,10,3UTR,,0,0
hsa-miR-10b-5p,NM_007331,NSD2,2700,2736,1.0,-18.0,1,0.002203263,0.529,0.16456834444444446,0.03137523900000003,-6.5006872542436085,13,17,9,3UTR,,0,0
hsa-miR-10b-5p,XM_017008588,NSD2,4729,4746,1.0,-19.3,1,7.790555e-05,0.426,0.0,0.0,-6.46951965307922,13,17,8,3UTR,,0,0
hsa-miR-10b-5p,NM_001775,CD38,2678,2695,1.0,-17.4,1,2.310347e-05,0.426,-0.18057081875000003,-0.013019738750000016,-5.925499359926538,12,17,8,3UTR,,0,0
hsa-miR-10b-5p,NM_025205,MED28,1496,1537,1.0,-22.4,1,0.006414631,0.368,-0.59006869,-0.21521410000000002,-11.077650871762618,12,16,10,3UTR,,0,0
hsa-miR-10b-5p,NM_032552,DAB2IP,4679,4720,1.0,-21.4,1,2.599699e-05,0.426,1.493126266666667,0.32516362875000004,-4.95700071937229,14,17,9,3UTR,,0,0
hsa-miR-10b-5p,XM_005251719,DAB2IP,5905,5946,1.0,-21.4,1,2.599699e-05,0.426,0.0,0.0,-4.95700071937229,14,17,9,3UTR,,0,0
hsa-miR-10b-5p,XM_024447417,DAB2IP,5914,5955,1.0,-21.4,1,2.599699e-05,0.426,0.0,0.0,-4.95700071937229,14,17,9,3UTR,,0,0
hsa-miR-10b-5p,NM_199160,LHX6,2685,2724,1.0,-16.9,1,6.353399e-05,0.471,5.816225200000002,4.93771414225,-8.019827316048655,14,22,8,3UTR,,0,0
hsa-miR-10b-5p,NM_014368,LHX6,2789,2828,1.0,-16.9,1,6.353399e-05,0.471,5.816225200000002,4.93771414225,-8.019827316048655,14,22,8,3UTR,,0,0
hsa-miR-10b-5p,NM_001242333,LHX6,2651,2690,1.0,-16.9,1,6.353399e-05,0.471,5.0845562,5.0931943125,-8.019827316048655,14,22,8,3UTR,,0,0
hsa-miR-10b-5p,NM_001348190,LHX6,2635,2674,1.0,-16.9,1,6.353399e-05,0.471,4.800018246,5.338608112499999,-8.019827316048655,14,22,8,3UTR,,0,0
hsa-miR-10b-5p,NM_001242334,LHX6,2739,2778,1.0,-16.9,1,6.353399e-05,0.471,4.800018246,5.338608112499999,-8.019827316048655,14,22,8,3UTR,,0,0
hsa-miR-10b-5p,NM_001242335,LHX6,2948,2987,1.0,-16.9,1,6.353399e-05,0.471,-0.008740088000000005,-0.12696068574999997,-8.019827316048655,14,22,8,3UTR,,0,0
hsa-miR-10b-5p,NM_002799,PSMB7,885,922,1.0,-17.8,1,0.0001240413,0.412,2.189613,3.328497338750001,-9.833347236189068,13,17,8,3UTR,,0,0
hsa-miR-10b-5p,NM_182487,OLFML2A,6003,6039,1.0,-22.6,1,3.48424e-05,0.471,-0.04892907499999999,-0.22140114125,-9.075983850792646,21,36,12,3UTR,,0,0
hsa-miR-10b-5p,NM_001282715,OLFML2A,5422,5458,1.0,-22.6,1,3.48424e-05,0.471,-0.48368483333333345,-0.24628530750000008,-9.075983850792646,21,36,12,3UTR,,0,0
hsa-miR-10b-5p,NM_014580,SLC2A8,1610,1645,1.0,-21.8,1,1.285201e-05,0.353,-0.20775064044444447,-0.34909621095,-6.618099312767468,14,16,14,3UTR,,0,0
hsa-miR-10b-5p,NM_001271711,SLC2A8,1464,1499,1.0,-21.8,1,1.285201e-05,0.353,-0.04146214355555555,-0.3023272389,-6.618099312767468,14,16,14,3UTR,,0,0
hsa-miR-10b-5p,NM_001271712,SLC2A8,1240,1275,1.0,-21.8,1,1.285201e-05,0.353,-0.04146214355555555,-0.3023272389,-6.618099312767468,14,16,14,3UTR,,0,0
hsa-miR-10b-5p,NM_197956,NAIF1,1425,1439,1.0,-17.6,1,0.02252136,0.485,0.44875499999999996,0.13098507749999994,-7.255896845946231,12,14,6,3UTR,,0,0
hsa-miR-10b-5p,NM_001265582,URM1,3735,3750,1.0,-17.0,1,0.02759583,0.426,0.386975875,0.06062928624999996,-11.128578504378995,12,15,8,3UTR,,0,0
hsa-miR-10b-5p,NM_001135947,URM1,2372,2387,1.0,-17.0,1,0.02759583,0.426,0.386975875,0.06062928624999996,-11.128578504378995,12,15,8,3UTR,,0,0
hsa-miR-10b-5p,NM_030914,URM1,2016,2031,1.0,-17.0,1,0.02759583,0.426,0.22329126249999995,0.07188268124999997,-11.128578504378995,12,15,8,3UTR,,0,0
hsa-miR-10b-5p,NM_016390,SPOUT1,2494,2508,1.0,-19.5,1,0.0001461913,0.309,-0.07301746249999998,-0.21018764624999997,-11.361627584682608,11,14,8,3UTR,MIRT047464,0,0
hsa-miR-10b-5p,NM_001128826,NCS1,4381,4407,1.0,-18.4,1,0.00313915,0.485,2.624710285714286,1.5500397474749998,-6.784172596374183,19,26,8,3UTR,,0,0
hsa-miR-10b-5p,NM_013318,PRRC2B,10736,10756,1.0,-17.9,1,0.008578048,0.647,0.03623092222222227,1.2382193725,-6.3934010304742,15,20,9,3UTR,,0,0
hsa-miR-10b-5p,NM_001280792,SURF4,2140,2186,1.0,-20.9,1,1.221973e-05,0.412,0.0,0.0,-8.303804028968646,13,16,9,3UTR,,0,0
hsa-miR-10b-5p,NM_001280789,SURF4,1993,2014,1.0,-20.9,1,1.221973e-05,0.412,0.0,0.0,-8.303804028968646,13,16,9,3UTR,,0,0
hsa-miR-10b-5p,XM_017010459,PHACTR1,2684,2703,1.0,-24.3,1,8.097871e-05,0.471,0.0,0.0,-14.401049203701035,17,19,9,3UTR,,0,0
hsa-miR-10b-5p,NM_001128164,ATXN1,9727,9754,1.0,-22.1,1,0.0001014242,0.515,2.803792234615384,2.9773756587499998,-6.514540193678739,20,27,9,3UTR,,0,0
hsa-miR-10b-5p,NM_001128164,ATXN1,8049,8071,1.0,-18.9,1,0.01889681,0.574,2.0346685,4.133901012500001,-6.251209375382295,18,22,9,3UTR,,0,0
hsa-miR-10b-5p,NM_001357857,ATXN1,9776,9803,1.0,-22.1,1,0.0001014242,0.515,3.8163184230769236,2.2980616925,-6.514540193678739,20,27,9,3UTR,,0,0
hsa-miR-10b-5p,NM_001357857,ATXN1,8098,8120,1.0,-18.9,1,0.01889681,0.574,4.474365000000001,2.7046754211249997,-6.251209375382295,18,22,9,3UTR,,0,0
hsa-miR-10b-5p,NM_000332,ATXN1,9776,9803,1.0,-22.1,1,0.0001014242,0.515,3.8163184230769236,2.2980616925,-6.514540193678739,20,27,9,3UTR,,0,0
hsa-miR-10b-5p,NM_000332,ATXN1,8098,8120,1.0,-18.9,1,0.01889681,0.574,4.474365000000001,2.7046754211249997,-6.251209375382295,18,22,9,3UTR,,0,0
hsa-miR-10b-5p,NM_153042,KDM1B,3108,3124,1.0,-16.0,1,0.0008496128,0.647,1.003529,0.5060008125,-8.09365486139926,12,14,12,3UTR,,0,0
hsa-miR-10b-5p,XM_005248925,KDM1B,3807,3823,1.0,-16.0,1,0.0008496128,0.647,0.0,0.0,-8.09365486139926,12,14,12,3UTR,,0,0
hsa-miR-10b-5p,NM_030939,C6orf62,2017,2031,1.0,-17.1,1,0.001139701,0.794,4.067259769230768,3.77617945,-9.546562468637928,13,14,13,3UTR,,0,0
hsa-miR-10b-5p,NM_001286445,RIPOR2,3999,4029,1.0,-19.7,1,0.0001053498,0.544,4.244693333333334,1.76339607125,-6.106959766537749,14,17,11,3UTR,,0,0
hsa-miR-10b-5p,NM_001346032,RIPOR2,3974,3990,1.0,-19.7,1,0.0001053498,0.544,1.6156007777777779,1.9748984087499994,-6.106959766537749,14,16,11,3UTR,,0,0
hsa-miR-10b-5p,NM_006994,BTN3A3,2391,2449,1.0,-18.4,1,0.0004684226,0.5,-0.09940000000000002,-0.3045875,-11.077650871762618,12,18,10,3UTR,,0,0
hsa-miR-10b-5p,NM_197974,BTN3A3,2299,2357,1.0,-18.4,1,0.0004684226,0.5,-0.09940000000000002,-0.3045875,-11.077650871762618,12,18,10,3UTR,,0,0
hsa-miR-10b-5p,NM_021904,GABBR1,4194,4215,1.0,-18.9,1,0.0003513986,0.456,0.8013415300000002,0.6365021362500001,-11.077650871762618,18,21,10,3UTR,,0,0
hsa-miR-10b-5p,NM_001470,GABBR1,4380,4401,1.0,-18.9,1,0.0003513986,0.456,1.0111252,0.81205197875,-11.077650871762618,18,21,10,3UTR,,0,0
hsa-miR-10b-5p,XM_005249374,TRIM26,2845,2863,1.0,-18.5,1,2.914368e-05,0.382,0.0,0.0,-5.962462745001676,13,18,8,3UTR,,0,0
hsa-miR-10b-5p,NM_001242783,TRIM26,2828,2846,1.0,-18.5,1,2.914368e-05,0.382,1.7984485000000001,1.3090001062499999,-5.962462745001676,13,18,8,3UTR,,0,0
hsa-miR-10b-5p,NM_003449,TRIM26,3049,3067,1.0,-18.5,1,2.914368e-05,0.382,0.40378777500000007,0.38101456,-5.962462745001676,13,18,8,3UTR,,0,0
